timestamp,px,py,vx,vy,pm1,pm2,pm3,pm4,vm1,vm2,vm3,vm4,dist_from_origin,dist_bin
1765805019.4958477,0.7704507353673692,-0.5536458202106798,-74.41820797635962,-40.27975981755693,-255,28,-29,-29,0,0,0,0,0.9487455032119395,15
1765848948.5771291,-1.7897627754597878,-0.847838155191388,-73.43032275563615,-41.2599957548409,-175,234,-234,-234,0,0,0,0,1.980424280254072,32
1765779738.847551,-0.5375421107785652,-0.4397357114912905,-73.06269417122148,-40.95294393083993,0,255,28,28,0,0,0,0,0.6944919127110313,11
1765782057.517972,1.351882957800837,2.101524220200832,-73.55276488801093,-40.85769224990328,-227,-255,-255,226,0,0,0,0,2.498798026988787,41
1765791687.957827,0.3818409483074351,1.0063910781274936,-73.46754267137543,-41.01751479685974,-227,-199,-255,28,0,0,0,0,1.0763946822327488,17
1765780662.8554416,-0.0939140027942137,-1.579292209938685,-73.088314890286,-41.11890190448389,-255,-85,85,-255,0,0,0,0,1.5820820851946484,26
1765792432.0456665,0.5377133244358758,1.7708800721053242,-73.00994808327033,-40.6818914662462,28,-255,-199,28,0,0,0,0,1.850716577181833,30
1765794403.072781,0.0992053164610689,0.4520354605775973,-73.46440502727252,-40.636061190596045,0,255,0,255,0,0,0,0,0.46279342306664356,7
1765773538.1077683,0.7056233994596672,-0.6966973793046771,-74.239607328644,-40.94447422027937,-255,113,113,0,0,0,0,0,0.9916106192427662,16
1765850689.1148105,1.8896706605924367,0.4421603616003736,-73.86013274025822,-41.25075057451804,-250,-250,153,250,0,0,0,0,1.9407114651267532,31
1765812862.951552,1.2790533353466746,1.7724520414948923,-73.21778164255724,-41.23520939068902,170,-255,0,255,0,0,0,0,2.1857638651192093,36
1765779707.343821,-1.8391668661813645,1.0401833492949069,-73.64178749842507,-40.03110302450852,255,0,-255,-255,0,0,0,0,2.112940169955068,34
1765850960.8069243,-0.2662173404990969,2.487658258138267,-74.34157911057731,-40.71707086551566,255,-250,-250,195,0,0,0,0,2.5018623626542547,41
1765850177.385465,-0.124659999817923,-2.3058887293417567,-74.24699701749498,-40.93348175319462,-245,219,245,-249,0,0,0,0,2.3092559294413313,38
1765775050.689363,0.8135707166507725,-0.4296889376342612,-73.99249701653439,-41.01647518636011,-29,28,255,0,0,0,0,0,0.920070591920485,15
1765793808.406128,0.5077973738239753,-0.4485227456540419,-73.44677283117285,-41.14045134993552,85,170,255,0,0,0,0,0,0.6775181371974971,11
1765812918.8573823,0.1377734864373102,0.3792832862096115,-73.62289331900034,-41.14985403263791,-142,-142,-142,0,0,0,0,0,0.40353109516250885,6
1765844908.596525,-0.8824960566461054,-0.8874545750772269,-73.43045941545323,-41.185831557070905,-190,200,-200,-200,0,0,0,0,1.251549005361527,20
1765798768.9770498,-0.4892178669097322,-1.007518012526493,-74.12171032636681,-40.83994549266541,-170,170,85,-255,0,0,0,0,1.1200119047889818,18
1765778641.011594,-0.9514228086492896,0.660441218029923,-73.77842758573321,-40.8035895223917,255,-199,141,-255,0,0,0,0,1.1581830439489913,19
1765779484.7216914,0.6444587334507695,-0.2843038548754363,-73.61487146025145,-40.72440611662814,170,85,255,0,0,0,0,0,0.7043832344810622,11
1765850952.494548,0.1352246499598069,2.4634326699455555,-74.48600349589927,-40.56157674355523,215,-250,-250,255,0,0,0,0,2.467141306312194,40
1765784867.155064,0.0945442026306046,1.346360954777333,-73.73471795949615,-40.84832734645923,226,28,0,226,0,0,0,0,1.3496764155900438,22
1765802173.2722788,0.5899167755788616,1.425053862427839,-72.98182726851508,-41.22326653497895,198,-255,0,56,0,0,0,0,1.5423295085453896,25
1765816924.9184313,0.2350437089110359,1.8731748642514705,-73.02627877056793,-40.90686994277141,0,-227,-227,28,0,0,0,0,1.8878637708166792,31
1765850430.553277,1.5240125997685654,-1.2523097612861518,-74.19879878030106,-40.39500581915358,-245,-245,250,-191,0,0,0,0,1.9725349534205776,32
